AK_UP,AK_DN,AJ_UP,AJ_DN
15,30,0,0
75,90,60,60
135,150,120,120
195,210,180,180
255,255,240,240
285,285,270,270
315,315,300,300
345,345,330,330
375,375,360,360
405,405,390,390
435,435,420,420
465,465,450,450
495,495,480,480
525,525,510,510
555,555,540,540
585,585,570,570
615,615,600,600
645,645,630,630
675,675,660,660
705,705,690,690
735,750,720,720
795,810,780,780
855,870,840,840
915,915,900,900
945,945,930,930
975,975,960,960
1005,1005,990,990
1035,1035,1020,1020
1065,1065,1050,1050
1095,1095,1080,1080
1125,1125,1110,1110
1155,1155,1140,1140
1185,1185,1170,1170
1215,1215,1200,1200
1245,1245,1230,1230
1275,1275,1260,1260
1305,1305,1290,1290
1335,1335,1320,1320
1365,1365,1350,1350
1395,1410,1380,1380
