trips,traveltime,waittime,total_time,starttime,dir,startpos
AJ_DN_0,85,20,105,0,DN,A
AJ_UP_0,100,20,120,0,UP,J
AK_UP_15,85,20,105,15,UP,K
AK_DN_15,105,15,120,15,DN,A
AJ_DN_30,85,20,105,30,DN,A
AJ_UP_30,100,20,120,30,UP,J
AK_UP_45,85,20,105,45,UP,K
AK_DN_45,105,15,120,45,DN,A
AJ_UP_60,100,20,120,60,UP,J
AJ_DN_60,85,20,105,60,DN,A
AK_UP_75,85,20,105,75,UP,K
AK_DN_75,105,15,120,75,DN,A
AJ_UP_90,100,20,120,90,UP,J
AJ_DN_90,85,20,105,90,DN,A
AK_UP_105,85,20,105,105,UP,K
AK_DN_105,105,15,120,105,DN,A
AJ_DN_120,85,20,105,120,DN,A
AJ_UP_120,100,20,120,120,UP,J
AK_DN_135,105,15,120,135,DN,A
AK_UP_135,85,20,105,135,UP,K
AJ_UP_150,100,20,120,150,UP,J
AJ_DN_150,85,20,105,150,DN,A
AK_UP_165,85,20,105,165,UP,K
AK_DN_165,105,15,120,165,DN,A
AJ_UP_180,100,20,120,180,UP,J
AJ_DN_180,85,20,105,180,DN,A
AK_UP_195,85,20,105,195,UP,K
AK_DN_195,105,15,120,195,DN,A
AJ_UP_210,100,20,120,210,UP,J
AJ_DN_210,85,20,105,210,DN,A
AK_UP_225,85,20,105,225,UP,K
AK_DN_225,105,15,120,225,DN,A
AJ_UP_240,90,15,105,240,UP,J
AJ_DN_240,80,10,90,240,DN,A
AK_DN_255,85,20,105,255,DN,A
AK_UP_255,85,20,105,255,UP,K
AJ_UP_270,90,15,105,270,UP,J
AJ_DN_270,80,10,90,270,DN,A
AK_UP_285,85,20,105,285,UP,K
AK_DN_285,85,20,105,285,DN,A
AJ_UP_300,90,15,105,300,UP,J
AJ_DN_300,80,10,90,300,DN,A
AK_UP_315,85,20,105,315,UP,K
AK_DN_315,85,20,105,315,DN,A
AJ_DN_330,80,10,90,330,DN,A
AJ_UP_330,90,15,105,330,UP,J
AK_UP_345,85,20,105,345,UP,K
AK_DN_345,85,20,105,345,DN,A
AJ_UP_360,90,15,105,360,UP,J
AJ_DN_360,80,10,90,360,DN,A
AK_UP_375,85,20,105,375,UP,K
AK_DN_375,85,20,105,375,DN,A
AJ_UP_390,90,15,105,390,UP,J
AJ_DN_390,80,10,90,390,DN,A
AK_UP_405,85,20,105,405,UP,K
AK_DN_405,85,20,105,405,DN,A
AJ_UP_420,90,15,105,420,UP,J
AJ_DN_420,70,20,90,420,DN,A
AK_UP_435,80,25,105,435,UP,K
AK_DN_450,80,10,90,450,DN,A
AJ_UP_480,85,20,105,480,UP,J
AJ_DN_480,75,15,90,480,DN,A
AK_UP_495,70,20,90,495,UP,K
AK_DN_510,80,10,90,510,DN,A
AJ_UP_540,85,20,105,540,UP,J
AJ_DN_540,75,15,90,540,DN,A
AK_UP_555,70,20,90,555,UP,K
AK_DN_570,80,10,90,570,DN,A
AJ_UP_600,85,20,105,600,UP,J
AJ_DN_600,75,15,90,600,DN,A
AK_UP_615,70,20,90,615,UP,K
AK_DN_630,80,10,90,630,DN,A
AJ_DN_660,75,15,90,660,DN,A
AJ_UP_660,85,20,105,660,UP,J
AK_UP_675,70,20,90,675,UP,K
AK_DN_690,80,10,90,690,DN,A
AJ_UP_720,85,20,105,720,UP,J
AJ_DN_720,75,15,90,720,DN,A
AK_UP_735,70,20,90,735,UP,K
AK_DN_735,80,10,90,735,DN,A
AJ_UP_750,85,20,105,750,UP,J
AJ_DN_750,75,15,90,750,DN,A
AK_UP_765,70,20,90,765,UP,K
AK_DN_765,80,10,90,765,DN,A
AJ_UP_780,85,20,105,780,UP,J
AJ_DN_780,75,15,90,780,DN,A
AK_DN_795,80,10,90,795,DN,A
AK_UP_795,70,20,90,795,UP,K
AJ_DN_810,75,15,90,810,DN,A
AJ_UP_810,85,20,105,810,UP,J
AK_UP_825,70,20,90,825,UP,K
AK_DN_825,80,10,90,825,DN,A
AJ_UP_840,85,20,105,840,UP,J
AJ_DN_840,75,15,90,840,DN,A
AK_UP_855,70,20,90,855,UP,K
AK_DN_855,80,10,90,855,DN,A
AJ_UP_870,85,20,105,870,UP,J
AJ_DN_870,75,15,90,870,DN,A
AK_UP_885,70,20,90,885,UP,K
AK_DN_885,80,10,90,885,DN,A
AJ_DN_900,75,15,90,900,DN,A
AJ_UP_900,85,20,105,900,UP,J
AK_UP_915,75,15,90,915,UP,K
AK_DN_915,80,10,90,915,DN,A
AJ_UP_930,85,20,105,930,UP,J
AJ_DN_930,75,15,90,930,DN,A
AK_UP_945,75,15,90,945,UP,K
AK_DN_945,80,10,90,945,DN,A
AJ_DN_960,75,15,90,960,DN,A
AJ_UP_960,85,20,105,960,UP,J
AK_DN_975,80,10,90,975,DN,A
AK_UP_975,75,15,90,975,UP,K
AJ_UP_990,85,20,105,990,UP,J
AJ_DN_990,75,15,90,990,DN,A
AK_UP_1005,75,15,90,1005,UP,K
AK_DN_1005,80,10,90,1005,DN,A
AJ_UP_1020,85,20,105,1020,UP,J
AJ_DN_1020,75,15,90,1020,DN,A
AK_DN_1035,90,15,105,1035,DN,A
AK_UP_1035,80,25,105,1035,UP,K
AJ_DN_1050,75,15,90,1050,DN,A
AJ_UP_1050,85,20,105,1050,UP,J
AK_UP_1065,80,25,105,1065,UP,K
AK_DN_1065,90,15,105,1065,DN,A
AJ_UP_1080,85,20,105,1080,UP,J
AJ_DN_1080,75,15,90,1080,DN,A
AK_UP_1095,80,25,105,1095,UP,K
AK_DN_1095,90,15,105,1095,DN,A
AJ_UP_1110,85,20,105,1110,UP,J
AJ_DN_1110,75,15,90,1110,DN,A
AK_DN_1125,90,15,105,1125,DN,A
AK_UP_1125,80,25,105,1125,UP,K
AJ_UP_1140,85,20,105,1140,UP,J
AJ_DN_1140,75,15,90,1140,DN,A
AK_UP_1155,80,25,105,1155,UP,K
AK_DN_1155,90,15,105,1155,DN,A
AJ_UP_1170,85,20,105,1170,UP,J
AJ_DN_1170,75,15,90,1170,DN,A
AK_UP_1185,80,25,105,1185,UP,K
AK_DN_1185,90,15,105,1185,DN,A
AJ_UP_1200,85,20,105,1200,UP,J
AJ_DN_1200,75,15,90,1200,DN,A
AK_UP_1215,80,25,105,1215,UP,K
AK_DN_1230,90,15,105,1230,DN,A
AJ_UP_1260,85,20,105,1260,UP,J
AJ_DN_1260,75,15,90,1260,DN,A
AK_UP_1275,80,25,105,1275,UP,K
AK_DN_1290,85,20,105,1290,DN,A
AJ_UP_1320,85,20,105,1320,UP,J
AJ_DN_1320,75,15,90,1320,DN,A
AK_UP_1335,80,25,105,1335,UP,K
AK_DN_1350,85,20,105,1350,DN,A
AJ_DN_1380,75,15,90,1380,DN,A
AJ_UP_1380,85,20,105,1380,UP,J
AK_UP_1395,80,25,105,1395,UP,K
AK_DN_1395,85,20,105,1395,DN,A
AJ_UP_1410,85,20,105,1410,UP,J
AJ_DN_1410,75,15,90,1410,DN,A
AK_UP_1425,80,25,105,1425,UP,K
AK_DN_1425,85,20,105,1425,DN,A
